2026-02-14 00:13:29,144 | INFO | uvicorn.access | 127.0.0.1:50129 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:13:29,152 | INFO | uvicorn.access | 127.0.0.1:63260 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:13:29,217 | INFO | uvicorn.access | 127.0.0.1:63260 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:15:55,535 | INFO | uvicorn.access | 127.0.0.1:52404 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:15:57,188 | INFO | uvicorn.access | 127.0.0.1:61603 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:15:57,192 | INFO | uvicorn.access | 127.0.0.1:55083 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:15:57,193 | INFO | uvicorn.access | 127.0.0.1:52521 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:16:06,436 | INFO | uvicorn.access | 127.0.0.1:49793 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&roles=admin&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:16:06,457 | INFO | uvicorn.access | 127.0.0.1:51295 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:16:06,469 | INFO | uvicorn.access | 127.0.0.1:51295 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:16:06,487 | INFO | uvicorn.access | 127.0.0.1:51295 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:23:43,110 | INFO | uvicorn.access | 127.0.0.1:57500 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:23:43,262 | INFO | uvicorn.access | 127.0.0.1:61280 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:23:43,574 | INFO | uvicorn.access | 127.0.0.1:62601 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:23:43,575 | INFO | uvicorn.access | 127.0.0.1:51111 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:23:43,576 | INFO | uvicorn.access | 127.0.0.1:54665 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:23:48,033 | INFO | uvicorn.access | 127.0.0.1:61280 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&roles=admin&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:23:48,494 | INFO | uvicorn.access | 127.0.0.1:54665 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:23:48,519 | INFO | uvicorn.access | 127.0.0.1:54665 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:23:48,553 | INFO | uvicorn.access | 127.0.0.1:54665 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:23:50,647 | INFO | uvicorn.access | 127.0.0.1:61280 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:23:52,100 | INFO | uvicorn.access | 127.0.0.1:54665 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:23:52,263 | INFO | uvicorn.access | 127.0.0.1:54665 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:23:52,267 | INFO | uvicorn.access | 127.0.0.1:64123 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:23:57,970 | INFO | uvicorn.access | 127.0.0.1:62690 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=admin&roles=manager&roles=staff&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:24:03,380 | INFO | uvicorn.access | 127.0.0.1:54442 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:24:03,388 | INFO | uvicorn.access | 127.0.0.1:62075 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:24:03,389 | INFO | uvicorn.access | 127.0.0.1:54442 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:31:08,084 | INFO | uvicorn.access | 127.0.0.1:53563 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:31:08,303 | INFO | uvicorn.access | 127.0.0.1:56914 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:31:08,607 | INFO | uvicorn.access | 127.0.0.1:61777 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:31:08,607 | INFO | uvicorn.access | 127.0.0.1:52224 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:31:08,608 | INFO | uvicorn.access | 127.0.0.1:58247 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:31:35,498 | INFO | uvicorn.access | 127.0.0.1:49854 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:31:50,791 | INFO | uvicorn.access | 127.0.0.1:49682 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&category=new-arrivals&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:31:51,624 | INFO | uvicorn.access | 127.0.0.1:49682 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&category=new-arrivals&category=sale&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:31:53,265 | INFO | uvicorn.access | 127.0.0.1:49682 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:31:54,306 | INFO | uvicorn.access | 127.0.0.1:49682 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:48:56,554 | INFO | uvicorn.access | 127.0.0.1:52099 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:48:57,217 | INFO | uvicorn.access | 127.0.0.1:53100 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:48:57,218 | INFO | uvicorn.access | 127.0.0.1:62525 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:48:57,219 | INFO | uvicorn.access | 127.0.0.1:65466 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:49:03,332 | INFO | uvicorn.access | 127.0.0.1:57917 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:49:03,539 | INFO | uvicorn.access | 127.0.0.1:55767 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:49:03,567 | INFO | uvicorn.access | 127.0.0.1:55767 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:49:03,622 | INFO | uvicorn.access | 127.0.0.1:55767 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
